Ship Collision Detection,Recursive Update,Particle Update,Bullet Update,Enemyships Update,Particle Draw
9.41031e-005,3.28744e-006,0.000966098,8.21861e-007,4.93117e-006,5.3421e-006
0.000103965,3.28744e-006,0.000989521,8.21861e-007,4.93117e-006,0.000935278
0.000189439,3.69838e-006,0.000994452,1.23279e-006,4.93117e-006,0.000917197
0.000195603,3.69838e-006,0.000968563,4.10931e-007,6.16396e-006,0.000977193
0.000276556,1.39716e-005,0.00397945,1.64372e-006,1.72591e-005,0.00096281
0.000233409,1.27388e-005,0.00396055,1.64372e-006,1.56154e-005,0.00379823
0.000150812,8.21861e-006,0.00197288,8.21861e-007,8.62954e-006,0.0020074
0.000163139,8.21861e-006,0.00197534,1.23279e-006,8.62954e-006,0.00190096
0.000169303,6.57489e-006,0.00198808,1.23279e-006,9.4514e-006,0.00191617
0.000135607,6.16396e-006,0.00205506,8.21861e-007,8.62954e-006,0.00189932
0.000232176,6.57489e-006,0.00203575,8.21861e-007,1.23279e-005,0.00189439
0.000144237,5.75303e-006,0.00194041,1.23279e-006,8.62954e-006,0.00209205
0.000147113,6.16396e-006,0.00199055,1.23279e-006,9.04047e-006,0.00206739
0.000148757,6.16396e-006,0.00279392,8.21861e-007,9.4514e-006,0.00189809
0.000157386,6.16396e-006,0.0019511,1.64372e-006,8.62954e-006,0.00189686
0.000142182,6.16396e-006,0.00205013,8.21861e-007,8.62954e-006,0.00193507
0.000138895,6.16396e-006,0.00196219,1.23279e-006,9.04047e-006,0.0019059
0.000144648,5.75303e-006,0.00194411,1.23279e-006,9.04047e-006,0.00199507
0.000153277,6.16396e-006,0.00196507,1.64372e-006,9.4514e-006,0.00188494
0.000164783,6.57489e-006,0.00201438,1.23279e-006,9.04047e-006,0.00188987
0.000158619,6.57489e-006,0.0109184,2.05465e-006,9.04047e-006,0.00194411
0.000111362,6.16396e-006,0.00199014,8.21861e-007,8.21861e-006,0.00189192
8.42408e-005,2.87651e-006,0.000955003,8.21861e-007,4.93117e-006,0.00195973
0.000179577,3.28744e-006,0.000955003,8.21861e-007,4.52024e-006,0.000965687
0.000168892,3.28744e-006,0.000943497,8.21861e-007,4.93117e-006,0.000988699
8.91719e-005,4.93117e-006,0.000948017,8.21861e-007,4.52024e-006,0.00102692
0.00090076,4.93117e-006,0.000953359,8.21861e-007,5.75303e-006,0.00106184
0.000258475,4.93117e-006,0.000988288,1.64372e-006,6.16396e-006,0.00109143
0.000196014,4.93117e-006,0.000989521,8.21861e-007,4.52024e-006,0.00182042
8.71173e-005,5.3421e-006,0.000952126,8.21861e-007,4.52024e-006,0.00114321
8.67064e-005,4.10931e-006,0.000947606,1.23279e-006,4.93117e-006,0.00110705
0.000115882,5.75303e-006,0.00112307,1.23279e-006,7.80768e-006,0.00115965
0.000111773,4.52024e-006,0.000960756,4.10931e-007,4.93117e-006,0.00118964
9.82124e-005,4.93117e-006,0.000963221,1.23279e-006,4.93117e-006,0.00110581
0.000262996,4.10931e-006,0.000921717,4.10931e-007,4.93117e-006,0.00113252
9.90343e-005,4.52024e-006,0.000944318,4.10931e-007,4.52024e-006,0.00116129
0.000101089,4.52024e-006,0.000956646,8.21861e-007,4.52024e-006,0.00104911
0.000103555,4.93117e-006,0.000972262,8.21861e-007,5.75303e-006,0.00103226
9.65687e-005,4.52024e-006,0.000946373,1.23279e-006,4.93117e-006,0.000934045
9.12266e-005,4.52024e-006,0.000982946,8.21861e-007,4.52024e-006,0.000954181
0.000179988,4.10931e-006,0.000979248,8.21861e-007,4.52024e-006,0.000964043
9.24594e-005,4.93117e-006,0.00195439,8.21861e-007,4.93117e-006,0.000937744
0.00026505,1.31498e-005,0.00390261,1.64372e-006,1.72591e-005,0.00389891
0.000166016,6.98582e-006,0.00194165,1.23279e-006,8.62954e-006,0.00383398
0.000173824,7.80768e-006,0.00195562,1.23279e-006,9.04047e-006,0.00159975
0.000139305,7.39675e-006,0.00198192,8.21861e-007,8.62954e-006,0.00190959
